"Hogar","Factor","Comuna","Personas","Vehículos","BicicletasAdulto","BicicletasNino","IngresoHogar","Hombres","Mujeres","LicenciasdeConducir","PasesEscolares","Trabajadores","Estudiantes","Jubilados","DuenosdeCasa","Desempleados","Otros","Niños","Jovenes","AdultoJovenes","Adultos","AdultoMayores","Discapacidad","ViajesTrabajo","ViajesEstudio","ViajesOtro"
"20","83.990646362305","EL BOSQUE","4","1","0","0","1800000","2","2","1","0","4","0","0","0","0","0","0","0","1","2","1","0","8","0","0"
"21","264.16125488281","ÑUÑOA","3","2","0","0","1413612","2","1","1","0","2","0","0","0","0","1","1","0","0","2","0","0","2","0","0"
"22","215.52250671387","SANTIAGO","3","0","1","0","340000","1","2","1","0","1","0","0","1","0","1","1","0","0","2","0","0","2","0","8"
"23","88.238594055176","LA CISTERNA","4","0","0","2","485000","0","4","0","1","1","2","0","1","0","0","0","2","0","1","1","0","2","0","6"
"24","89.691497802734","SAN BERNARDO","2","0","1","0","277000","1","1","0","0","1","0","0","1","0","0","0","0","0","2","0","0","0","0","4"
"25","87.72257232666","LO ESPEJO","4","0","0","0","550000","3","1","0","0","2","1","0","0","0","1","1","1","0","2","0","0","4","0","2"
"26","54.24348449707","PUENTE ALTO","4","1","1","0","1250000","3","1","1","0","3","1","0","0","0","0","0","1","0","3","0","0","2","2","3"
"27","74.682083129883","LA PINTANA","3","0","0","0","660584","1","2","0","1","2","1","0","0","0","0","0","1","0","1","1","0","2","2","0"
"28","34.691585540771","LO BARNECHEA","5","2","0","0","3957454","1","4","2","0","3","0","0","0","0","2","2","0","0","3","0","0","4","0","8"
"29","132.98202514648","SANTIAGO","2","0","0","0","1396638","1","1","2","0","0","0","2","1","0","2","0","0","0","1","1","0","0","0","7"
"30","45.877967834473","PROVIDENCIA","3","1","1","0","611178","1","2","1","0","1","1","0","1","0","2","0","0","0","2","1","0","4","0","7"
"31","139.38948059082","PEÑALOLEN","3","0","1","0","402567","2","1","0","0","1","1","0","1","0","0","0","1","0","2","0","0","2","0","0"
"32","89.691497802734","SAN BERNARDO","2","0","1","0","287216","1","1","0","0","1","0","0","1","1","0","0","0","0","2","0","1","2","0","2"
"33","67.24626159668","LAMPA","4","1","2","1","375355","2","2","1","1","2","2","0","1","0","0","0","2","0","2","0","0","4","2","12"
"34","79.42472076416","PUENTE ALTO","3","1","0","0","555000","2","1","0","0","2","0","1","0","0","0","0","0","0","1","2","0","0","0","10"
"35","79.837745666504","PUENTE ALTO","3","1","0","0","983696","2","1","1","0","2","0","1","0","0","0","0","0","0","1","2","0","4","0","2"
"36","221.83099365234","SAN BERNARDO","1","0","0","0","78000","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","2"
"37","205.93695068359","CERRO NAVIA","6","0","0","1","407331","3","3","0","1","1","3","1","1","0","0","0","3","0","1","2","2","2","6","4"
"38","46.642848968506","EL MONTE","2","1","1","0","180979","1","1","1","0","0","0","1","1","0","0","0","0","0","0","2","1","0","0","4"
"39","110.49768829346","QUILICURA","3","0","0","0","379983","1","2","0","1","1","1","0","1","0","0","0","1","1","1","0","0","2","2","4"
"40","149.92660522461","MELIPILLA","4","1","0","1","200000","1","3","1","0","1","2","0","1","0","0","0","2","0","2","0","0","2","4","2"
"41","183.01356506348","LAMPA","3","0","3","0","1201522","3","0","2","0","3","0","0","0","0","0","0","0","0","3","0","0","6","0","0"
"42","116.13349914551","SAN RAMON","2","1","1","0","1114363","1","1","2","0","2","0","0","0","0","0","0","0","0","2","0","0","2","0","2"
"43","80.685157775879","LO ESPEJO","5","0","1","2","337017","3","2","0","1","2","1","0","1","0","1","1","1","1","2","0","0","2","2","4"
"44","65.300559997559","PUENTE ALTO","5","1","0","0","575174","2","3","1","2","2","2","0","0","0","1","1","0","2","2","0","0","2","4","0"
"45","134.0126953125","CONCHALI","5","1","1","1","740000","2","3","2","0","2","1","0","2","0","0","0","1","0","4","0","0","4","2","2"
"46","140.69044494629","ÑUÑOA","6","0","2","1","963429","3","3","0","1","1","2","0","1","0","2","2","0","2","2","0","0","2","4","0"
"47","29.175340652466","CALERA DE TANGO","4","2","4","0","833785","3","1","2","2","2","2","0","0","0","0","0","1","1","2","0","0","4","0","0"
"48","47.911781311035","MAIPU","4","1","0","0","861376","2","2","2","2","2","2","0","0","0","0","0","0","2","1","1","0","4","6","0"
"49","139.17082214356","SAN MIGUEL","3","0","1","0","340450","2","1","0","0","1","0","1","1","0","2","0","0","0","1","2","2","0","0","2"
"50","114.82615661621","LA CISTERNA","4","0","2","1","1340394","3","1","0","1","2","2","0","0","0","0","0","2","0","2","0","1","0","4","2"
"51","117.98004150391","PUDAHUEL","2","0","0","0","160000","1","1","0","0","0","0","2","0","0","0","0","0","0","1","1","2","0","0","0"
"52","80.324012756348","SAN JOAQUIN","4","0","0","2","385476","2","2","0","0","1","0","2","0","1","0","0","0","1","2","1","1","0","0","9"
"53","52.383827209473","QUILICURA","3","1","99","1","554673","1","2","2","0","2","1","0","0","0","0","0","1","0","2","0","0","4","0","0"
"54","125.65582275391","PUDAHUEL","2","0","0","0","590002","1","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","4","0","0"
"55","46.069744110107","ÑUÑOA","4","1","1","0","998177","1","3","2","2","2","2","0","0","0","0","0","1","1","2","0","0","4","0","0"
"56","174.88044738769","ÑUÑOA","5","2","2","0","2413451","2","3","5","1","2","1","0","1","0","1","0","0","0","5","0","0","3","2","6"
"57","61.727127075195","LAS CONDES","3","4","0","0","2473016","2","1","3","0","1","0","2","1","0","0","0","0","0","1","2","0","2","0","4"
"58","108.05944824219","LA CISTERNA","3","0","0","0","221983","1","2","0","0","1","1","1","0","0","0","0","1","0","2","0","0","2","2","2"
"59","94.260139465332","CONCHALI","5","0","0","3","240000","2","3","0","0","1","1","0","2","0","1","1","1","0","3","0","0","2","2","4"
"60","148.63934326172","LO PRADO","5","0","0","0","197000","1","4","0","1","1","2","0","1","0","1","1","2","0","2","0","0","2","4","4"
"61","104.41592407227","QUILICURA","2","1","0","0","920756","2","0","2","0","2","0","0","0","0","0","0","0","0","2","0","0","4","0","0"
"62","155.95066833496","PEÑALOLEN","5","2","2","1","3016584","3","2","3","2","3","2","0","0","0","0","0","0","2","3","0","0","6","2","2"
"63","76.810279846191","MAIPU","4","0","0","0","789356","2","2","0","2","2","1","0","0","1","0","0","0","1","3","0","0","1","2","2"
"64","96.034606933594","LA FLORIDA","2","1","1","0","2340000","1","1","1","0","2","0","1","0","0","1","0","0","0","1","1","0","2","0","2"
"65","273.94912719727","LA FLORIDA","8","0","0","0","1142601","4","4","2","4","3","5","0","0","0","0","0","3","2","3","0","0","4","10","4"
"66","136.98857116699","SANTIAGO","2","0","2","0","192892","2","0","2","2","0","2","0","0","0","0","0","0","1","1","0","0","0","3","3"
"67","71.534652709961","PEDRO AGUIRRE CERDA","1","0","0","0","180000","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","2"
"68","106.2910232544","QUINTA NORMAL","4","0","2","0","434977","2","2","1","1","1","2","0","1","0","0","0","2","0","1","1","0","0","0","3"
"69","86.301643371582","LA FLORIDA","3","0","0","0","587834","1","2","1","0","2","0","0","1","0","1","0","0","0","1","2","0","4","0","4"
"70","38.569229125977","PUDAHUEL","4","1","0","0","614943","2","2","0","1","2","1","0","1","0","0","0","0","0","4","0","0","8","2","0"
"71","34.978561401367","SAN BERNARDO","4","1","0","0","1418904","2","2","1","3","3","3","0","1","0","0","0","0","2","2","0","0","4","2","2"
"72","63.533081054688","PEÑAFLOR","3","0","0","0","162000","2","1","0","0","0","0","2","1","0","0","0","0","0","0","3","0","0","0","3"
"73","146.49021911621","PROVIDENCIA","1","0","0","0","400000","1","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0"
"74","63.281848907471","PUENTE ALTO","4","1","0","1","1248726","2","2","2","0","4","0","0","0","0","0","0","0","0","4","0","0","2","0","7"
"75","69.352577209473","PUENTE ALTO","4","0","0","0","193000","2","2","0","0","1","1","0","1","0","1","1","1","2","0","0","0","2","2","8"
"76","33.800403594971","EL MONTE","5","0","2","1","430000","2","3","0","0","2","1","0","1","0","1","0","1","2","2","0","0","4","0","0"
"77","158.94805908203","LO PRADO","1","0","1","0","111879","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","2","0","0"
"78","131.9044342041","CERRO NAVIA","5","0","0","0","650000","2","3","0","2","2","3","0","0","0","0","0","2","1","2","0","0","2","6","4"
"79","229.59268188477","PEDRO AGUIRRE CERDA","2","0","0","0","192790","1","1","0","0","0","0","1","1","0","0","0","0","0","1","1","1","0","0","8"
"80","73.56063079834","SAN JOAQUIN","2","0","0","0","407956","1","1","0","0","1","0","0","1","0","0","0","0","0","1","1","0","1","0","5"
"81","69.087730407715","LA FLORIDA","2","1","0","0","928918","1","1","2","0","1","0","0","1","0","0","0","0","0","2","0","0","6","0","6"
"82","40.906326293945","LA PINTANA","8","0","0","0","815000","4","4","1","2","3","3","1","1","0","0","0","1","2","4","1","0","6","0","4"
"83","136.4676361084","PEDRO AGUIRRE CERDA","4","0","1","1","560000","1","3","1","1","1","1","1","1","0","0","0","0","1","1","2","1","2","0","3"
"84","57.758487701416","PEDRO AGUIRRE CERDA","3","0","2","0","469483","2","1","0","1","1","1","1","1","0","0","0","0","0","1","2","1","0","0","4"
"85","80.253974914551","LAS CONDES","3","1","2","1","679046","1","2","0","0","1","0","0","1","0","1","1","0","0","2","0","0","2","0","2"
"86","110.77512359619","LA PINTANA","3","0","1","0","83090","1","2","0","0","0","2","0","1","0","0","0","2","0","1","0","0","0","0","0"
"87","104.2523727417","LA REINA","1","0","0","0","239257","0","1","0","1","1","1","0","0","0","0","0","0","0","1","0","0","2","0","0"
"88","84.878524780273","MAIPU","4","1","2","0","340000","3","1","1","0","1","2","0","1","0","0","0","2","0","2","0","0","2","0","6"
"89","63.281848907471","PUENTE ALTO","4","1","0","1","900000","2","2","2","1","2","2","0","1","0","0","0","2","0","2","0","0","2","4","0"
"90","92.264930725098","PEÑALOLEN","4","0","0","0","603334","3","1","0","1","2","1","0","1","0","0","0","0","1","3","0","0","4","2","4"
"91","94.008964538574","LO ESPEJO","2","0","1","0","138733","1","1","0","0","0","0","1","0","1","0","0","0","0","1","1","1","0","0","2"
"92","49.722984313965","LA FLORIDA","4","0","2","0","662727","2","2","0","3","2","1","0","0","1","0","0","1","0","3","0","0","4","0","2"
"93","81.72208404541","LA FLORIDA","2","0","1","0","422020","2","0","0","0","2","0","0","0","0","0","0","0","0","1","1","1","2","0","0"
"94","62.688705444336","LA PINTANA","6","0","0","0","440000","4","2","1","1","2","4","0","0","0","0","0","4","0","2","0","0","4","8","0"
"95","106.85340881348","LAS CONDES","2","2","0","0","2415956","1","1","2","0","1","0","0","1","0","0","0","0","0","2","0","1","2","0","14"
"96","109.57134246826","LA FLORIDA","4","0","0","0","1253624","1","3","0","0","2","1","1","0","0","0","0","1","0","3","0","0","4","2","2"
"97","19.300523757935","VITACURA","2","1","0","0","731814","1","1","1","0","1","1","0","0","0","0","0","1","0","1","0","0","1","1","9"
"98","171.64064025879","CERRO NAVIA","4","1","0","2","600000","2","2","1","1","1","3","0","0","0","0","0","3","0","1","0","0","2","0","12"
"99","66.022583007812","LAS CONDES","2","1","0","0","200001","1","1","1","1","1","1","0","0","0","0","0","0","0","2","0","0","0","0","6"
"100","78.292404174805","MAIPU","3","1","0","0","536085","2","1","1","1","2","1","0","0","0","0","0","1","0","2","0","0","4","2","2"
"101","22.647819519043","VITACURA","2","1","0","0","1120307","1","1","2","0","1","0","1","0","0","1","0","0","0","1","1","1","0","0","4"
"102","62.44979095459","LAS CONDES","2","1","0","0","1505890","1","1","2","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","12"
"103","154.7492980957","INDEPENDENCIA","2","1","0","0","616626","1","1","1","0","1","0","1","0","0","0","0","0","0","2","0","1","2","0","0"
"104","56.096027374268","MAIPU","5","1","2","0","1419410","2","3","2","1","3","1","1","0","0","0","0","0","1","3","1","0","4","4","0"
"105","100.38105773926","SAN BERNARDO","6","1","0","0","680131","3","3","2","0","2","2","0","0","2","0","0","2","0","4","0","0","0","0","4"
"106","274.72247314453","PUENTE ALTO","1","0","1","0","200000","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","3","0","1"
"107","74.130516052246","PUENTE ALTO","5","1","0","0","150000","1","4","0","2","1","3","0","1","0","0","0","3","0","1","1","0","2","6","0"
"108","74.310546875","MAIPU","4","0","0","0","584284","1","3","0","1","2","2","0","0","0","0","1","1","0","2","0","0","4","0","4"
"109","52.875030517578","LA GRANJA","4","1","0","0","380000","2","2","2","2","2","2","0","0","0","0","0","0","1","3","0","1","2","2","4"
"110","89.410667419434","LAS CONDES","3","1","0","0","832383","0","3","2","0","1","1","1","0","0","0","0","1","0","1","1","0","2","2","4"
"111","81.193832397461","EL BOSQUE","4","0","0","2","239085","2","2","0","0","1","2","0","1","0","0","0","2","0","2","0","0","2","3","4"
"112","58.791431427002","LA FLORIDA","3","1","1","0","1198861","2","1","1","0","2","0","0","0","0","1","1","0","0","2","0","0","0","0","6"
"113","5.1513786315918","CALERA DE TANGO","4","0","1","0","287402","3","1","0","1","1","2","0","1","0","0","0","2","0","2","0","0","2","0","0"
"114","90.133674621582","LA GRANJA","3","0","0","1","350000","2","1","1","1","1","2","0","1","0","0","0","1","0","2","0","0","1","2","6"
"115","73.395401000977","PUENTE ALTO","4","1","0","1","800000","3","1","2","0","2","2","0","0","0","0","0","2","0","2","0","0","4","0","0"
"116","76.055923461914","ESTACION CENTRAL","2","0","0","0","346245","1","1","0","0","0","0","1","1","0","0","0","0","0","0","2","2","0","0","2"
"117","133.25012207031","LAS CONDES","1","0","1","0","600000","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","2","0","1"
"118","73.528167724609","QUILICURA","4","0","0","0","591006","2","2","0","1","2","2","0","0","0","0","0","2","0","2","0","0","4","4","0"
"119","89.248008728027","LA FLORIDA","5","1","0","0","1003379","3","2","4","0","3","0","1","1","0","0","0","0","1","3","1","0","6","0","5"
"120","100.78147125244","SANTIAGO","1","0","0","0","98949","1","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","2","0"
"121","47.042224884033","INDEPENDENCIA","4","0","0","2","1032440","2","2","0","1","2","1","0","1","0","0","0","0","1","3","0","0","4","0","0"
"122","93.73811340332","SAN MIGUEL","6","0","1","0","1250901","1","5","0","1","3","3","0","0","0","0","0","2","1","3","0","0","3","6","3"
"123","225.70506286621","SANTIAGO","2","1","0","0","290000","1","1","1","0","0","0","1","1","0","0","0","0","0","0","2","1","0","0","4"
"124","73.528167724609","QUILICURA","4","0","1","0","640687","1","3","0","0","2","0","0","1","0","1","1","0","2","1","0","0","2","0","0"
"125","136.20300292969","PEDRO AGUIRRE CERDA","3","1","1","0","370000","1","2","1","0","1","0","1","1","0","0","0","0","0","3","0","1","2","0","2"
"126","122.52672576904","RENCA","3","0","0","0","800000","2","1","1","0","2","1","0","0","0","0","1","0","0","2","0","0","2","0","2"
"127","85.007904052734","ÑUÑOA","2","0","0","0","668044","1","1","1","0","0","0","2","1","0","2","0","0","0","1","1","1","0","0","2"
"128","83.976219177246","EL BOSQUE","5","1","0","0","1700000","2","3","3","0","3","1","0","1","0","0","0","1","0","4","0","0","6","0","2"
"129","125.33980560303","PUDAHUEL","3","2","1","0","550000","2","1","2","0","3","0","0","0","0","0","0","0","0","2","1","0","10","0","0"
"130","160.83576965332","SANTIAGO","5","0","1","0","1173182","2","3","0","1","2","2","0","1","0","1","1","1","1","2","0","0","4","4","0"
"131","68.670799255371","PEÑAFLOR","5","0","2","0","180000","3","2","0","2","0","2","1","0","0","2","0","2","1","1","1","1","0","2","8"
"132","240.35111999512","MACUL","4","2","0","0","841117","1","3","4","2","2","2","0","0","0","0","0","0","1","3","0","0","1","3","7"
"133","90.765830993652","BUIN","1","0","0","0","129450","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","2"
"134","82.768569946289","MACUL","3","1","2","1","847553","1","2","2","0","2","1","0","0","0","0","0","1","0","2","0","0","2","0","2"
"135","76.064430236816","SANTIAGO","3","0","0","0","520000","1","2","0","0","0","0","1","1","0","1","0","0","0","0","3","1","0","0","4"
"136","101.41413116455","INDEPENDENCIA","3","0","1","0","742466","1","2","2","2","2","2","0","0","0","0","0","0","1","2","0","0","4","0","0"
"137","425.93914794922","PUDAHUEL","6","0","0","2","300000","1","5","0","0","1","2","0","1","0","2","2","2","0","2","0","0","2","4","2"
"138","206.95048522949","SAN JOAQUIN","1","0","0","0","701854","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","2","0","0"
"139","42.201374053955","PROVIDENCIA","3","1","2","0","1680462","2","1","2","0","2","1","0","2","0","0","1","0","0","2","0","0","4","2","10"
"140","107.70169067383","CALERA DE TANGO","2","0","1","0","269563","1","1","0","0","1","0","0","1","0","0","0","0","1","0","1","1","2","0","2"
"141","88.780609130859","LAMPA","4","1","2","1","215023","3","1","1","1","1","2","0","1","0","0","0","2","0","2","0","0","2","4","2"
"142","152.59762573242","RECOLETA","1","0","0","0","250000","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"143","73.228775024414","HUECHURABA","4","3","0","1","6838153","1","3","1","0","1","2","0","1","0","0","1","1","0","2","0","0","2","4","7"
"144","173.03591918945","PUDAHUEL","5","2","2","0","650000","3","2","1","2","2","2","0","1","0","0","0","2","1","2","0","0","4","0","8"
"145","96.436027526855","EL BOSQUE","4","0","0","0","390000","3","1","0","1","1","1","2","0","0","0","0","1","0","1","2","0","2","2","0"
"146","46.983909606934","LAMPA","6","1","0","0","906952","1","5","1","1","3","3","0","0","0","0","1","1","1","3","0","0","6","0","8"
"147","80.908500671387","PUENTE ALTO","4","0","1","0","400000","1","3","2","1","1","1","0","1","0","1","1","1","0","2","0","0","2","0","6"
"148","91.342308044434","PUENTE ALTO","3","0","0","1","400000","1","2","0","0","1","0","0","1","0","1","1","0","0","2","0","0","0","0","6"
"149","86.539207458496","SAN BERNARDO","3","1","0","0","1900000","2","1","2","1","2","1","0","0","0","0","0","0","1","2","0","0","2","2","0"
"150","88.238594055176","LA CISTERNA","4","0","1","1","211734","2","2","0","1","0","1","1","1","0","1","1","1","0","1","1","1","0","2","6"
"151","210.25871276856","LA PINTANA","4","2","1","1","479271","2","2","3","1","2","2","0","0","0","0","0","1","1","2","0","0","5","0","3"
"152","64.000839233398","CONCHALI","3","0","0","0","470000","2","1","0","0","1","1","0","1","0","0","0","1","0","2","0","0","2","2","2"
"153","160.02851867676","RENCA","1","0","0","0","98439","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1"
"154","74.260078430176","PROVIDENCIA","2","1","0","0","750000","0","2","1","0","1","0","1","0","0","0","0","0","0","1","1","0","1","0","3"
"155","90.594825744629","PUENTE ALTO","2","0","1","0","1321607","1","1","2","0","1","0","0","1","0","0","0","0","0","2","0","0","2","0","0"
"156","51.55492401123","LAMPA","4","1","2","0","400000","2","2","1","0","1","1","0","0","1","1","1","1","1","1","0","0","0","2","4"
"157","58.807510375977","COLINA","3","0","0","0","960000","2","1","0","0","2","1","0","0","0","0","1","0","0","2","0","0","4","2","0"
"158","172.69914245606","PEÑALOLEN","5","3","1","1","1349678","3","2","3","1","2","1","0","1","0","1","1","0","1","3","0","0","4","2","4"
"159","104.86519622803","EL BOSQUE","3","0","0","0","565439","1","2","0","0","2","0","0","1","0","0","0","0","0","2","1","0","4","0","5"
"160","105.52683258057","QUINTA NORMAL","4","1","1","0","438170","2","2","0","0","1","0","1","1","0","1","0","0","0","2","2","0","2","0","6"
"161","47.885452270508","PUENTE ALTO","5","1","1","1","728471","1","4","1","0","2","1","0","1","1","0","1","0","0","4","0","0","2","0","0"
"162","123.13902282715","SAN BERNARDO","5","0","2","1","1042616","4","1","0","0","3","1","1","0","0","0","1","0","0","4","0","0","6","2","2"
"163","78.426658630371","LA FLORIDA","2","1","0","0","384000","1","1","1","0","2","0","0","0","0","0","0","0","0","2","0","0","4","0","0"
"164","159.32192993164","LAS CONDES","4","4","1","0","2146976","2","2","4","1","2","1","0","0","1","0","0","0","1","3","0","0","8","2","7"
"165","106.61434936523","RENCA","4","0","0","0","242795","2","2","0","1","1","2","0","1","0","0","0","2","0","2","0","0","2","4","4"
"166","66.427680969238","PUENTE ALTO","3","0","0","0","413000","2","1","0","0","1","0","1","1","0","0","0","0","0","1","2","1","2","0","2"
"167","123.19682312012","PUDAHUEL","2","0","1","0","400000","1","1","0","1","1","1","0","0","0","0","0","0","1","1","0","0","0","2","5"
"168","92.997680664062","CERRILLOS","4","0","1","0","937783","2","2","0","2","2","1","1","0","0","0","0","0","0","3","1","0","2","2","3"
"169","46.069744110107","ÑUÑOA","4","1","3","0","1548079","2","2","4","1","3","1","0","0","0","0","0","0","1","3","0","0","4","0","4"
"170","90.962387084961","PEÑAFLOR","5","1","1","1","400000","4","1","2","0","1","2","0","1","0","1","2","1","0","2","0","0","3","4","7"
"171","55.082019805908","MAIPU","3","1","1","0","504175","1","2","2","2","1","2","0","0","0","0","0","0","1","2","0","0","2","4","0"
"172","107.89067077637","MAIPU","6","1","2","0","390097","3","3","1","3","1","4","0","1","0","0","0","3","1","2","0","0","2","0","2"
"173","140.576171875","CERRO NAVIA","5","0","0","1","689285","1","4","0","1","2","2","1","1","0","0","0","1","0","3","1","0","2","0","6"
"174","74.219360351562","PROVIDENCIA","2","1","2","0","2100783","1","1","1","0","2","0","0","0","0","0","0","0","0","2","0","0","2","0","4"
"175","98.200584411621","SAN BERNARDO","5","0","0","0","440269","2","3","1","1","2","1","0","1","1","0","0","1","2","2","0","0","4","2","8"
"176","78.499954223633","LA PINTANA","4","0","0","0","364643","1","3","0","1","1","1","0","1","1","0","0","1","0","2","1","0","0","2","2"
"177","166.69262695312","LA GRANJA","7","0","1","0","1030000","5","2","0","1","4","0","0","1","2","0","0","0","1","6","0","0","8","0","8"
"178","146.41377258301","MACUL","5","0","1","2","301215","2","3","1","2","1","2","1","1","0","0","0","2","0","2","1","1","2","4","2"
"179","101.59967803955","LA FLORIDA","2","1","0","0","548928","1","1","2","0","0","0","1","1","0","1","0","0","0","0","2","0","0","0","6"
"180","47.410594940185","PUENTE ALTO","4","1","0","0","478000","2","2","1","1","2","1","1","0","0","0","0","1","1","2","0","0","2","2","10"
"181","105.74835968018","MAIPU","3","0","0","0","954991","1","2","1","0","2","0","0","1","0","0","0","0","0","2","1","0","4","0","2"
"182","155.24502563477","CERRO NAVIA","2","1","0","0","490000","1","1","1","0","2","0","0","0","0","0","0","0","0","2","0","0","2","0","2"
"183","142.13945007324","RECOLETA","4","0","2","2","779320","1","3","0","0","2","2","0","0","0","0","1","0","1","2","0","0","1","4","7"
"184","250.71026611328","SAN MIGUEL","6","0","0","0","488446","1","5","0","2","1","2","1","0","1","1","0","1","3","1","1","0","4","2","4"
"185","44.176906585693","LA PINTANA","8","0","0","1","690000","5","3","1","2","3","2","0","1","0","2","2","1","1","4","0","0","6","2","0"
"186","117.48921966553","LA FLORIDA","2","0","0","0","700398","1","1","1","0","2","0","0","0","0","0","0","0","0","2","0","0","4","0","0"
"187","74.123054504395","CERRO NAVIA","4","0","0","0","200000","3","1","1","0","1","2","0","0","0","1","0","2","1","1","0","0","2","4","4"
"188","89.785697937012","PEÑAFLOR","2","0","0","0","338171","1","1","0","0","1","0","0","1","0","0","0","0","0","2","0","0","2","0","2"
"189","129.39900207519","LAS CONDES","2","2","1","0","947338","2","0","1","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","10"
"190","91.910331726074","PEÑALOLEN","4","1","1","0","1397859","2","2","3","1","4","0","0","0","0","0","0","0","1","3","0","0","6","0","2"
"191","97.654197692871","LA PINTANA","3","0","0","0","410000","1","2","0","0","2","1","0","0","0","0","0","1","0","2","0","0","4","2","1"
"192","80.399452209473","LA REINA","3","1","0","1","1511226","1","2","2","0","2","0","0","1","0","2","0","0","0","1","2","2","4","0","0"
"193","22.431303024292","COLINA","4","0","1","0","300000","2","2","0","2","1","2","0","1","0","0","0","2","0","2","0","0","2","4","2"
"194","112.36666870117","QUILICURA","7","1","99","99","588504","3","4","0","1","2","2","1","1","0","1","0","1","3","2","1","2","2","4","2"
"195","65.439765930176","TALAGANTE","3","0","1","1","300000","1","2","0","1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","2"
"196","72.898445129395","CONCHALI","6","0","0","0","480000","2","4","0","1","2","1","0","0","1","2","2","0","3","1","0","0","4","2","2"
"197","102.07592773438","PUENTE ALTO","3","0","0","1","350301","1","2","0","0","1","1","0","1","0","0","0","1","0","2","0","0","2","2","1"
